date,store,item,sales
2018-06-26,1,1,59
2018-06-27,1,1,62
2018-06-28,1,1,62
2018-06-29,1,1,50
2018-06-30,1,1,43
2018-07-01,1,1,50
2018-07-02,1,1,54
2018-07-03,1,1,64
2018-07-04,1,1,60
2018-07-05,1,1,50
2018-07-06,1,1,42
2018-07-07,1,1,50
2018-07-08,1,1,51
2018-07-09,1,1,50
2018-07-10,1,1,55
2018-07-11,1,1,63
2018-07-12,1,1,49
2018-07-13,1,1,42
2018-07-14,1,1,44
2018-07-15,1,1,41
2018-07-16,1,1,48
2018-07-17,1,1,54
2018-07-18,1,1,57
2018-07-19,1,1,57
2018-07-20,1,1,44
2018-07-21,1,1,42
2018-07-22,1,1,33
2018-07-23,1,1,47
2018-07-24,1,1,49
2018-07-25,1,1,49
2018-07-26,1,1,46
2018-07-27,1,1,41
2018-07-28,1,1,42
2018-07-29,1,1,34
2018-07-30,1,1,45
2018-07-31,1,1,49
2018-08-01,1,1,51
2018-08-02,1,1,52
2018-08-03,1,1,43
2018-08-04,1,1,42
2018-08-05,1,1,37
2018-08-06,1,1,41
2018-08-07,1,1,49
2018-08-08,1,1,52
2018-08-09,1,1,47
2018-08-10,1,1,35
2018-08-11,1,1,35
2018-08-12,1,1,37
2018-08-13,1,1,52
2018-08-14,1,1,56
2018-08-15,1,1,46
2018-08-16,1,1,44
2018-08-17,1,1,32
2018-08-18,1,1,31
2018-08-19,1,1,36
2018-08-20,1,1,46
2018-08-21,1,1,44
2018-08-22,1,1,46
2018-08-23,1,1,36
2018-08-24,1,1,36
2018-08-25,1,1,28
2018-08-26,1,1,32
2018-08-27,1,1,37
2018-08-28,1,1,46
2018-08-29,1,1,41
2018-08-30,1,1,37
2018-08-31,1,1,45
2018-09-01,1,1,26
2018-09-02,1,1,29
2018-09-03,1,1,47
2018-09-04,1,1,57
2018-09-05,1,1,42
2018-09-06,1,1,41
2018-09-07,1,1,37
2018-09-08,1,1,38
2018-09-09,1,1,28
2018-09-10,1,1,38
2018-09-11,1,1,48
2018-09-12,1,1,48
2018-09-13,1,1,40
2018-09-14,1,1,34
2018-09-15,1,1,25
2018-09-16,1,1,31
2018-09-17,1,1,37
2018-09-18,1,1,45
2018-09-19,1,1,43
2018-09-20,1,1,43
2018-09-21,1,1,38
2018-09-22,1,1,31
2018-09-23,1,1,33
2018-09-24,1,1,38
2018-09-25,1,1,44
2018-09-26,1,1,43
2018-09-27,1,1,42
2018-09-28,1,1,34
2018-09-29,1,1,38
2018-09-30,1,1,38
2018-10-01,1,1,39
2018-10-02,1,1,41
2018-10-03,1,1,41
2018-10-04,1,1,46
2018-10-05,1,1,35
2018-10-06,1,1,32
2018-10-07,1,1,25
2018-10-08,1,1,42
2018-10-09,1,1,46
2018-10-10,1,1,41
2018-10-11,1,1,40
2018-10-12,1,1,36
2018-10-13,1,1,31
2018-10-14,1,1,31
2018-10-15,1,1,38
2018-10-16,1,1,44
2018-10-17,1,1,47
2018-10-18,1,1,48
2018-10-19,1,1,25
2018-10-20,1,1,30
2018-10-21,1,1,33
2018-10-22,1,1,40
2018-10-23,1,1,44
2018-10-24,1,1,40
2018-10-25,1,1,44
2018-10-26,1,1,43
2018-10-27,1,1,25
2018-10-28,1,1,37
2018-10-29,1,1,38
2018-10-30,1,1,46
2018-10-31,1,1,43
2018-11-01,1,1,42
2018-11-02,1,1,42
2018-11-03,1,1,35
2018-11-04,1,1,41
2018-11-05,1,1,45
2018-11-06,1,1,49
2018-11-07,1,1,56
2018-11-08,1,1,46
2018-11-09,1,1,41
2018-11-10,1,1,32
2018-11-11,1,1,36
2018-11-12,1,1,39
2018-11-13,1,1,52
2018-11-14,1,1,45
2018-11-15,1,1,49
2018-11-16,1,1,38
2018-11-17,1,1,40
2018-11-18,1,1,40
2018-11-19,1,1,50
2018-11-20,1,1,52
2018-11-21,1,1,45
2018-11-22,1,1,47
2018-11-23,1,1,36
2018-11-24,1,1,34
2018-11-25,1,1,44
2018-11-26,1,1,47
2018-11-27,1,1,48
2018-11-28,1,1,49
2018-11-29,1,1,49
2018-11-30,1,1,37
2018-12-01,1,1,35
2018-12-02,1,1,41
2018-12-03,1,1,51
2018-12-04,1,1,55
2018-12-05,1,1,45
2018-12-06,1,1,52
2018-12-07,1,1,44
2018-12-08,1,1,41
2018-12-09,1,1,48
2018-12-10,1,1,40
2018-12-11,1,1,52
2018-12-12,1,1,58
2018-12-13,1,1,46
2018-12-14,1,1,51
2018-12-15,1,1,43
2018-12-16,1,1,46
2018-12-17,1,1,47
2018-12-18,1,1,59
2018-12-19,1,1,62
2018-12-20,1,1,55
2018-12-21,1,1,48
2018-12-22,1,1,44
2018-12-23,1,1,41
2018-12-24,1,1,51
2018-12-25,1,1,57
2018-12-26,1,1,61
2018-12-27,1,1,60
2018-12-28,1,1,45
2018-12-29,1,1,44
2018-12-30,1,1,53
2018-12-31,1,1,50
2019-01-01,1,1,56
2019-01-02,1,1,62
2019-01-03,1,1,61
2019-01-04,1,1,51
2019-01-05,1,1,52
2019-01-06,1,1,52
2019-01-07,1,1,58
2019-01-08,1,1,64
2019-01-09,1,1,73
2019-01-10,1,1,59
2019-01-11,1,1,45
2019-01-12,1,1,55
2019-01-13,1,1,49
2019-01-14,1,1,57
2019-01-15,1,1,69
2019-01-16,1,1,59
2019-01-17,1,1,56
2019-01-18,1,1,48
2019-01-19,1,1,47
2019-01-20,1,1,54
2019-01-21,1,1,61
2019-01-22,1,1,66
2019-01-23,1,1,61
2019-01-24,1,1,54
2019-01-25,1,1,56
2019-01-26,1,1,50
2019-01-27,1,1,56
2019-01-28,1,1,63
2019-01-29,1,1,67
2019-01-30,1,1,72
2019-01-31,1,1,65
2019-02-01,1,1,60
2019-02-02,1,1,51
2019-02-03,1,1,55
2019-02-04,1,1,63
2019-02-05,1,1,72
2019-02-06,1,1,69
2019-02-07,1,1,68
2019-02-08,1,1,58
2019-02-09,1,1,55
2019-02-10,1,1,60
2019-02-11,1,1,55
2019-02-12,1,1,65
2019-02-13,1,1,66
2019-02-14,1,1,58
2019-02-15,1,1,58
2019-02-16,1,1,60
2019-02-17,1,1,57
2019-02-18,1,1,66
2019-02-19,1,1,76
2019-02-20,1,1,78
2019-02-21,1,1,68
2019-02-22,1,1,67
2019-02-23,1,1,58
2019-02-24,1,1,56
2019-02-25,1,1,64
2019-02-26,1,1,66
2019-02-27,1,1,70
2019-02-28,1,1,68
2019-03-01,1,1,66
2019-03-02,1,1,66
2019-03-03,1,1,55
2019-03-04,1,1,69
2019-03-05,1,1,69
2019-03-06,1,1,77
2019-03-07,1,1,70
2019-03-08,1,1,57
2019-03-09,1,1,63
2019-03-10,1,1,59
2019-03-11,1,1,66
2019-03-12,1,1,70
2019-03-13,1,1,73
2019-03-14,1,1,73
2019-03-15,1,1,64
2019-03-16,1,1,62
2019-03-17,1,1,63
2019-03-18,1,1,74
2019-03-19,1,1,73
2019-03-20,1,1,70
2019-03-21,1,1,76
2019-03-22,1,1,64
2019-03-23,1,1,65
2019-03-24,1,1,64
2019-03-25,1,1,68
2019-03-26,1,1,76
2019-03-27,1,1,84
2019-03-28,1,1,81
2019-03-29,1,1,66
2019-03-30,1,1,62
2019-03-31,1,1,67
2019-04-01,1,1,65
2019-04-02,1,1,76
2019-04-03,1,1,77
2019-04-04,1,1,74
2019-04-05,1,1,62
2019-04-06,1,1,55
2019-04-07,1,1,54
2019-04-08,1,1,64
2019-04-09,1,1,73
2019-04-10,1,1,75
2019-04-11,1,1,80
2019-04-12,1,1,70
2019-04-13,1,1,57
2019-04-14,1,1,64
2019-04-15,1,1,67
2019-04-16,1,1,74
2019-04-17,1,1,77
2019-04-18,1,1,74
2019-04-19,1,1,63
2019-04-20,1,1,65
2019-04-21,1,1,57
2019-04-22,1,1,68
2019-04-23,1,1,85
2019-04-24,1,1,77
2019-04-25,1,1,77
2019-04-26,1,1,65
2019-04-27,1,1,62
2019-04-28,1,1,61
2019-04-29,1,1,67
2019-04-30,1,1,70
2019-05-01,1,1,77
2019-05-02,1,1,67
2019-05-03,1,1,66
2019-05-04,1,1,63
2019-05-05,1,1,62
2019-05-06,1,1,65
2019-05-07,1,1,74
2019-05-08,1,1,73
2019-05-09,1,1,73
2019-05-10,1,1,55
2019-05-11,1,1,57
2019-05-12,1,1,51
2019-05-13,1,1,59
2019-05-14,1,1,77
2019-05-15,1,1,76
2019-05-16,1,1,65
2019-05-17,1,1,55
2019-05-18,1,1,45
2019-05-19,1,1,56
2019-05-20,1,1,74
2019-05-21,1,1,72
2019-05-22,1,1,69
2019-05-23,1,1,69
2019-05-24,1,1,54
2019-05-25,1,1,54
2019-05-26,1,1,57
2019-05-27,1,1,62
2019-05-28,1,1,72
2019-05-29,1,1,72
2019-05-30,1,1,68
2019-05-31,1,1,56
2019-06-01,1,1,58
2019-06-02,1,1,62
2019-06-03,1,1,57
2019-06-04,1,1,64
2019-06-05,1,1,74
2019-06-06,1,1,63
2019-06-07,1,1,63
2019-06-08,1,1,51
2019-06-09,1,1,60
2019-06-10,1,1,60
2019-06-11,1,1,67
2019-06-12,1,1,73
2019-06-13,1,1,61
2019-06-14,1,1,52
2019-06-15,1,1,49
2019-06-16,1,1,54
2019-06-17,1,1,52
2019-06-18,1,1,67
2019-06-19,1,1,63
2019-06-20,1,1,65
2019-06-21,1,1,44
2019-06-22,1,1,46
2019-06-23,1,1,44
2019-06-24,1,1,53
2019-06-25,1,1,63
2019-06-26,1,1,63
2019-06-27,1,1,58
2019-06-28,1,1,51
2019-06-29,1,1,48
2019-06-30,1,1,45
2019-07-01,1,1,57
2019-07-02,1,1,63
2019-07-03,1,1,63
2019-07-04,1,1,59
2019-07-05,1,1,51
2019-07-06,1,1,54
2019-07-07,1,1,46
2019-07-08,1,1,52
2019-07-09,1,1,56
2019-07-10,1,1,56
2019-07-11,1,1,51
2019-07-12,1,1,45
2019-07-13,1,1,43
2019-07-14,1,1,46
2019-07-15,1,1,51
2019-07-16,1,1,54
2019-07-17,1,1,62
2019-07-18,1,1,57
2019-07-19,1,1,46
2019-07-20,1,1,39
2019-07-21,1,1,46
2019-07-22,1,1,50
2019-07-23,1,1,50
2019-07-24,1,1,56
2019-07-25,1,1,53
2019-07-26,1,1,41
2019-07-27,1,1,41
2019-07-28,1,1,36
2019-07-29,1,1,53
2019-07-30,1,1,59
2019-07-31,1,1,54
2019-08-01,1,1,52
2019-08-02,1,1,34
2019-08-03,1,1,34
2019-08-04,1,1,39
2019-08-05,1,1,42
2019-08-06,1,1,55
2019-08-07,1,1,62
2019-08-08,1,1,44
2019-08-09,1,1,39
2019-08-10,1,1,38
2019-08-11,1,1,45
2019-08-12,1,1,40
2019-08-13,1,1,52
2019-08-14,1,1,60
2019-08-15,1,1,41
2019-08-16,1,1,36
2019-08-17,1,1,34
2019-08-18,1,1,35
2019-08-19,1,1,47
2019-08-20,1,1,51
2019-08-21,1,1,44
2019-08-22,1,1,49
2019-08-23,1,1,37
2019-08-24,1,1,40
2019-08-25,1,1,34
2019-08-26,1,1,40
2019-08-27,1,1,51
2019-08-28,1,1,53
2019-08-29,1,1,47
2019-08-30,1,1,32
2019-08-31,1,1,36
2019-09-01,1,1,31
2019-09-02,1,1,43
2019-09-03,1,1,42
2019-09-04,1,1,51
2019-09-05,1,1,42
2019-09-06,1,1,33
2019-09-07,1,1,36
2019-09-08,1,1,36
2019-09-09,1,1,38
2019-09-10,1,1,53
2019-09-11,1,1,47
2019-09-12,1,1,44
2019-09-13,1,1,38
2019-09-14,1,1,30
2019-09-15,1,1,36
2019-09-16,1,1,38
2019-09-17,1,1,45
2019-09-18,1,1,54
2019-09-19,1,1,40
2019-09-20,1,1,27
2019-09-21,1,1,39
2019-09-22,1,1,44
2019-09-23,1,1,38
2019-09-24,1,1,39
2019-09-25,1,1,47
2019-09-26,1,1,42
2019-09-27,1,1,36
2019-09-28,1,1,28
2019-09-29,1,1,36
2019-09-30,1,1,42
2019-10-01,1,1,40
2019-10-02,1,1,51
2019-10-03,1,1,52
2019-10-04,1,1,37
2019-10-05,1,1,31
2019-10-06,1,1,33
2019-10-07,1,1,43
2019-10-08,1,1,40
2019-10-09,1,1,49
2019-10-10,1,1,42
2019-10-11,1,1,44
2019-10-12,1,1,32
2019-10-13,1,1,41
2019-10-14,1,1,36
2019-10-15,1,1,49
2019-10-16,1,1,50
2019-10-17,1,1,41
2019-10-18,1,1,38
2019-10-19,1,1,38
2019-10-20,1,1,33
2019-10-21,1,1,34
2019-10-22,1,1,47
2019-10-23,1,1,45
2019-10-24,1,1,43
2019-10-25,1,1,38
2019-10-26,1,1,27
2019-10-27,1,1,29
2019-10-28,1,1,44
2019-10-29,1,1,46
2019-10-30,1,1,40
2019-10-31,1,1,49
2019-11-01,1,1,40
2019-11-02,1,1,32
2019-11-03,1,1,31
2019-11-04,1,1,46
2019-11-05,1,1,51
2019-11-06,1,1,60
2019-11-07,1,1,48
2019-11-08,1,1,41
2019-11-09,1,1,35
2019-11-10,1,1,41
2019-11-11,1,1,46
2019-11-12,1,1,55
2019-11-13,1,1,50
2019-11-14,1,1,46
2019-11-15,1,1,39
2019-11-16,1,1,40
2019-11-17,1,1,45
2019-11-18,1,1,43
2019-11-19,1,1,50
2019-11-20,1,1,55
2019-11-21,1,1,48
2019-11-22,1,1,46
2019-11-23,1,1,29
2019-11-24,1,1,37
2019-11-25,1,1,44
2019-11-26,1,1,44
2019-11-27,1,1,51
2019-11-28,1,1,47
2019-11-29,1,1,43
2019-11-30,1,1,44
2019-12-01,1,1,41
2019-12-02,1,1,44
2019-12-03,1,1,54
2019-12-04,1,1,61
2019-12-05,1,1,48
2019-12-06,1,1,42
2019-12-07,1,1,44
2019-12-08,1,1,43
2019-12-09,1,1,52
2019-12-10,1,1,56
2019-12-11,1,1,61
2019-12-12,1,1,50
2019-12-13,1,1,47
2019-12-14,1,1,43
2019-12-15,1,1,40
2019-12-16,1,1,45
2019-12-17,1,1,61
2019-12-18,1,1,59
2019-12-19,1,1,52
2019-12-20,1,1,49
2019-12-21,1,1,50
2019-12-22,1,1,38
2019-12-23,1,1,47
2019-12-24,1,1,56
2019-12-25,1,1,68
2019-12-26,1,1,59
2019-12-27,1,1,54
2019-12-28,1,1,42
2019-12-29,1,1,44
2019-12-30,1,1,57
2019-12-31,1,1,62
2020-01-01,1,1,66
2020-01-02,1,1,59
2020-01-03,1,1,54
2020-01-04,1,1,49
2020-01-05,1,1,54
2020-01-06,1,1,60
2020-01-07,1,1,57
2020-01-08,1,1,57
2020-01-09,1,1,65
2020-01-10,1,1,59
2020-01-11,1,1,47
2020-01-12,1,1,45
2020-01-13,1,1,59
2020-01-14,1,1,69
2020-01-15,1,1,75
2020-01-16,1,1,65
2020-01-17,1,1,55
2020-01-18,1,1,49
2020-01-19,1,1,54
2020-01-20,1,1,60
2020-01-21,1,1,63
2020-01-22,1,1,77
2020-01-23,1,1,72
2020-01-24,1,1,63
2020-01-25,1,1,51
2020-01-26,1,1,59
2020-01-27,1,1,65
2020-01-28,1,1,71
2020-01-29,1,1,76
2020-01-30,1,1,69
2020-01-31,1,1,63
2020-02-01,1,1,58
2020-02-02,1,1,59
2020-02-03,1,1,57
2020-02-04,1,1,71
2020-02-05,1,1,70
2020-02-06,1,1,63
2020-02-07,1,1,68
2020-02-08,1,1,64
2020-02-09,1,1,65
2020-02-10,1,1,67
2020-02-11,1,1,77
2020-02-12,1,1,74
2020-02-13,1,1,70
2020-02-14,1,1,59
2020-02-15,1,1,60
2020-02-16,1,1,61
2020-02-17,1,1,62
2020-02-18,1,1,73
2020-02-19,1,1,75
2020-02-20,1,1,78
2020-02-21,1,1,68
2020-02-22,1,1,60
2020-02-23,1,1,63
2020-02-24,1,1,68
2020-02-25,1,1,74
2020-02-26,1,1,72
2020-02-27,1,1,71
2020-02-28,1,1,62
2020-02-29,1,1,56
2020-03-01,1,1,65
2020-03-02,1,1,71
2020-03-03,1,1,68
2020-03-04,1,1,77
2020-03-05,1,1,77
2020-03-06,1,1,70
2020-03-07,1,1,66
2020-03-08,1,1,64
2020-03-09,1,1,67
2020-03-10,1,1,72
2020-03-11,1,1,79
2020-03-12,1,1,75
2020-03-13,1,1,72
2020-03-14,1,1,67
2020-03-15,1,1,64
2020-03-16,1,1,66
2020-03-17,1,1,76
2020-03-18,1,1,79
2020-03-19,1,1,73
2020-03-20,1,1,65
2020-03-21,1,1,64
2020-03-22,1,1,63
2020-03-23,1,1,68
2020-03-24,1,1,79
2020-03-25,1,1,77
2020-03-26,1,1,76
2020-03-27,1,1,69
2020-03-28,1,1,59
2020-03-29,1,1,63
2020-03-30,1,1,77
2020-03-31,1,1,73
2020-04-01,1,1,71
2020-04-02,1,1,67
2020-04-03,1,1,68
2020-04-04,1,1,63
2020-04-05,1,1,64
2020-04-06,1,1,76
2020-04-07,1,1,67
2020-04-08,1,1,80
2020-04-09,1,1,81
2020-04-10,1,1,63
2020-04-11,1,1,62
2020-04-12,1,1,62
2020-04-13,1,1,67
2020-04-14,1,1,76
2020-04-15,1,1,84
2020-04-16,1,1,82
2020-04-17,1,1,66
2020-04-18,1,1,70
2020-04-19,1,1,64
2020-04-20,1,1,77
2020-04-21,1,1,76
2020-04-22,1,1,79
2020-04-23,1,1,75
2020-04-24,1,1,79
2020-04-25,1,1,66
2020-04-26,1,1,61
2020-04-27,1,1,74
2020-04-28,1,1,74
2020-04-29,1,1,75
2020-04-30,1,1,77
2020-05-01,1,1,66
2020-05-02,1,1,62
2020-05-03,1,1,63
2020-05-04,1,1,70
2020-05-05,1,1,77
2020-05-06,1,1,69
2020-05-07,1,1,75
2020-05-08,1,1,61
2020-05-09,1,1,55
2020-05-10,1,1,62
2020-05-11,1,1,68
2020-05-12,1,1,71
2020-05-13,1,1,79
2020-05-14,1,1,65
2020-05-15,1,1,62
2020-05-16,1,1,57
2020-05-17,1,1,60
2020-05-18,1,1,68
2020-05-19,1,1,69
2020-05-20,1,1,77
2020-05-21,1,1,70
2020-05-22,1,1,55
2020-05-23,1,1,50
2020-05-24,1,1,59
2020-05-25,1,1,64
2020-05-26,1,1,71
2020-05-27,1,1,73
2020-05-28,1,1,69
2020-05-29,1,1,65
2020-05-30,1,1,52
2020-05-31,1,1,53
2020-06-01,1,1,59
2020-06-02,1,1,71
2020-06-03,1,1,76
2020-06-04,1,1,65
2020-06-05,1,1,49
2020-06-06,1,1,48
2020-06-07,1,1,53
2020-06-08,1,1,60
2020-06-09,1,1,67
2020-06-10,1,1,70
2020-06-11,1,1,64
2020-06-12,1,1,62
2020-06-13,1,1,51
2020-06-14,1,1,51
2020-06-15,1,1,63
2020-06-16,1,1,60
2020-06-17,1,1,69
2020-06-18,1,1,64
2020-06-19,1,1,56
2020-06-20,1,1,58
2020-06-21,1,1,50
2020-06-22,1,1,67
2020-06-23,1,1,64
2020-06-24,1,1,61
2020-06-25,1,1,62
2020-06-26,1,1,50
2020-06-27,1,1,47
2020-06-28,1,1,53
2020-06-29,1,1,59
2020-06-30,1,1,61
2020-07-01,1,1,68
2020-07-02,1,1,64
2020-07-03,1,1,58
2020-07-04,1,1,50
2020-07-05,1,1,55
2020-07-06,1,1,48
2020-07-07,1,1,60
2020-07-08,1,1,59
2020-07-09,1,1,59
2020-07-10,1,1,49
2020-07-11,1,1,46
2020-07-12,1,1,55
2020-07-13,1,1,53
2020-07-14,1,1,61
2020-07-15,1,1,60
2020-07-16,1,1,57
2020-07-17,1,1,49
2020-07-18,1,1,46
2020-07-19,1,1,51
2020-07-20,1,1,59
2020-07-21,1,1,59
2020-07-22,1,1,62
2020-07-23,1,1,50
2020-07-24,1,1,47
2020-07-25,1,1,47
2020-07-26,1,1,48
2020-07-27,1,1,51
2020-07-28,1,1,60
2020-07-29,1,1,60
2020-07-30,1,1,58
2020-07-31,1,1,47
2020-08-01,1,1,40
2020-08-02,1,1,44
2020-08-03,1,1,37
2020-08-04,1,1,56
2020-08-05,1,1,42
2020-08-06,1,1,45
2020-08-07,1,1,46
2020-08-08,1,1,42
2020-08-09,1,1,37
2020-08-10,1,1,45
2020-08-11,1,1,59
2020-08-12,1,1,53
2020-08-13,1,1,59
2020-08-14,1,1,43
2020-08-15,1,1,40
2020-08-16,1,1,46
2020-08-17,1,1,47
2020-08-18,1,1,48
2020-08-19,1,1,53
2020-08-20,1,1,49
2020-08-21,1,1,37
2020-08-22,1,1,36
2020-08-23,1,1,36
2020-08-24,1,1,49
2020-08-25,1,1,51
2020-08-26,1,1,51
2020-08-27,1,1,48
2020-08-28,1,1,42
2020-08-29,1,1,39
2020-08-30,1,1,34
2020-08-31,1,1,40
2020-09-01,1,1,55
2020-09-02,1,1,50
2020-09-03,1,1,42
2020-09-04,1,1,42
2020-09-05,1,1,38
2020-09-06,1,1,31
2020-09-07,1,1,44
2020-09-08,1,1,52
2020-09-09,1,1,52
2020-09-10,1,1,49
2020-09-11,1,1,34
2020-09-12,1,1,36
2020-09-13,1,1,35
2020-09-14,1,1,41
2020-09-15,1,1,52
2020-09-16,1,1,56
2020-09-17,1,1,53
2020-09-18,1,1,44
2020-09-19,1,1,34
2020-09-20,1,1,38
2020-09-21,1,1,46
2020-09-22,1,1,49
2020-09-23,1,1,51
2020-09-24,1,1,49
2020-09-25,1,1,39
2020-09-26,1,1,32
2020-09-27,1,1,34
2020-09-28,1,1,45
2020-09-29,1,1,49
2020-09-30,1,1,51
2020-10-01,1,1,48
2020-10-02,1,1,37
2020-10-03,1,1,38
2020-10-04,1,1,38
2020-10-05,1,1,37
2020-10-06,1,1,54
2020-10-07,1,1,48
2020-10-08,1,1,39
2020-10-09,1,1,35
2020-10-10,1,1,31
2020-10-11,1,1,37
2020-10-12,1,1,42
2020-10-13,1,1,48
2020-10-14,1,1,53
2020-10-15,1,1,48
2020-10-16,1,1,41
2020-10-17,1,1,37
2020-10-18,1,1,39
2020-10-19,1,1,35
2020-10-20,1,1,48
2020-10-21,1,1,43
2020-10-22,1,1,47
2020-10-23,1,1,40
2020-10-24,1,1,40
2020-10-25,1,1,42
2020-10-26,1,1,45
2020-10-27,1,1,48
2020-10-28,1,1,54
2020-10-29,1,1,46
2020-10-30,1,1,41
2020-10-31,1,1,41
2020-11-01,1,1,36
2020-11-02,1,1,48
2020-11-03,1,1,54
2020-11-04,1,1,49
2020-11-05,1,1,53
2020-11-06,1,1,45
2020-11-07,1,1,38
2020-11-08,1,1,37
2020-11-09,1,1,43
2020-11-10,1,1,50
2020-11-11,1,1,56
2020-11-12,1,1,46
2020-11-13,1,1,45
2020-11-14,1,1,34
2020-11-15,1,1,40
2020-11-16,1,1,48
2020-11-17,1,1,64
2020-11-18,1,1,50
2020-11-19,1,1,57
2020-11-20,1,1,45
2020-11-21,1,1,42
2020-11-22,1,1,43
2020-11-23,1,1,51
2020-11-24,1,1,55
2020-11-25,1,1,63
2020-11-26,1,1,51
2020-11-27,1,1,51
2020-11-28,1,1,39
2020-11-29,1,1,44
2020-11-30,1,1,46
2020-12-01,1,1,59
2020-12-02,1,1,64
2020-12-03,1,1,54
2020-12-04,1,1,47
2020-12-05,1,1,39
2020-12-06,1,1,45
2020-12-07,1,1,46
2020-12-08,1,1,55
2020-12-09,1,1,61
2020-12-10,1,1,61
